Last_Updated,Room_Type,Available_Bed_Spaces,Percent_Left
2025-02-19 16:01:00,Plaza Triple/Private Bath,1713,0.7997198879551821
2025-02-19 16:01:00,Plaza Triple/Shared Bath,2735,0.9418044077134986
2025-02-19 16:01:00,Suite Triple/Shared Bath,663,0.7568493150684932
2025-02-20 10:02:00,1 Bd/3 Person,1,0.008333333333333333
2025-02-20 10:02:00,2 Bd+Loft/5 Person-Double,0,0.0
2025-02-20 10:02:00,2 Bd+Loft/6 Person,0,0.0
2025-02-20 10:02:00,2 Bd/3 Person-Double,0,0.0
2025-02-20 10:02:00,2 Bd/4 Person,0,0.0
2025-02-20 10:02:00,2 Bd/5 Person-Double,0,0.0
2025-02-20 10:02:00,2 Bd/5 Person-Triple,0,0.0
2025-02-20 10:02:00,2 Bd/6 Person,0,0.0
2025-02-20 10:02:00,2 Bd/7 Person-Quad,0,0.0
2025-02-20 10:02:00,2 Bd/7 Person-Triple,0,0.0
2025-02-20 10:02:00,2 Bd/8 Person,48,0.25
2025-02-20 10:02:00,3 Bd+Loft/9 Person-Double,0,0.0
2025-02-20 10:02:00,3 Bd+Loft/9 Person-Triple,0,0.0
2025-02-20 10:02:00,3 Bd/6 Person,0,0.0
2025-02-20 10:02:00,3 Bd/8 Person-Double,0,0.0
2025-02-20 10:02:00,3 Bd/8 Person-Triple,0,0.0
2025-02-20 10:02:00,4 Bd/10 Person-Double,57,0.06347438752783964
2025-02-20 10:02:00,4 Bd/10 Person-Triple,803,0.5948148148148148
2025-02-20 10:02:00,Classic Triple,3591,0.9545454545454546
2025-02-20 10:02:00,Deluxe Triple,2201,0.7074895531983285
2025-02-20 10:02:00,Plaza Triple/Private Bath,1669,0.7791783380018674
2025-02-20 10:02:00,Plaza Triple/Shared Bath,2717,0.9356060606060606
2025-02-20 10:02:00,Suite Triple/Shared Bath,638,0.728310502283105
2025-02-20 11:02:00,1 Bd/3 Person,1,0.008333333333333333
2025-02-20 11:02:00,2 Bd+Loft/5 Person-Double,0,0.0
2025-02-20 11:02:00,2 Bd+Loft/6 Person,0,0.0
