Last_Updated,Building,Available_Bed_Spaces,Percent_Left
2025-02-19 16:01:00,Levering Terrace Apartments,53,0.1970260223048327
2025-02-19 16:01:00,Olympic / Centennial,1317,0.7867383512544803
2025-02-19 16:01:00,Palo Verde,191,0.45260663507109006
2025-02-19 16:01:00,Rieber Hall,969,0.9728915662650602
2025-02-19 16:01:00,Rieber Terrace,692,0.8871794871794871
2025-02-19 16:01:00,Rieber Vista,648,0.9310344827586207
2025-02-19 16:01:00,Saxon Suites,240,0.5633802816901409
2025-02-19 16:01:00,Sproul Hall,902,0.9029029029029029
2025-02-19 16:01:00,Sproul Landing / Cove,582,0.5791044776119403
2025-02-19 16:01:00,Sunset Village,1394,0.8557397176181707
2025-02-19 16:01:00,Tipuana,396,0.42764578833693306
2025-02-19 16:01:00,Westwood Chateau Apartments,0,0.0
2025-02-19 16:01:00,Westwood Palms Apartments,0,0.0
2025-02-20 10:02:00,De Neve Plaza,1007,0.8088353413654619
2025-02-20 10:02:00,De Neve Residence Hall,374,0.8657407407407407
2025-02-20 10:02:00,Dykstra Hall,733,0.9581699346405229
2025-02-20 10:02:00,Gayley Court Apartments,0,0.0
2025-02-20 10:02:00,Gayley Heights,0,0.0
2025-02-20 10:02:00,Glenrock Apartments,0,0.0
2025-02-20 10:02:00,Glenrock West Apartments,1,0.009523809523809525
2025-02-20 10:02:00,Hedrick Hall,994,0.9920159680638723
2025-02-20 10:02:00,Hedrick Summit,683,0.9813218390804598
2025-02-20 10:02:00,Hitch Suites,422,0.9377777777777778
2025-02-20 10:02:00,Landfair Apartments,0,0.0
2025-02-20 10:02:00,Landfair Vista Apartments,0,0.0
2025-02-20 10:02:00,Laurel,327,0.42689295039164493
